,Z,A,N
0,8,16,8
1,12,24,12
2,12,24,12
3,14,28,14
4,14,28,14
5,16,32,16
6,20,40,20
7,20,40,20
8,20,42,22
9,20,44,24
10,20,48,28
11,20,48,28
12,22,46,24
13,22,48,26
14,26,56,30
15,28,58,30
16,28,58,30
17,28,60,32
18,40,90,50
19,40,90,50
20,40,90,50
21,40,90,50
22,40,90,50
23,40,92,52
24,40,92,52
25,40,92,52
26,40,92,52
27,40,94,54
28,42,92,50
29,42,92,50
30,42,92,50
31,42,92,50
32,42,94,52
33,42,94,52
34,42,96,54
35,42,96,54
36,42,97,55
37,42,98,56
38,42,98,56
39,42,100,58
40,42,100,58
41,48,106,58
42,48,110,62
43,48,110,62
44,48,112,64
45,48,114,66
46,48,116,68
47,48,116,68
48,50,112,62
49,50,112,62
50,50,114,64
51,50,116,66
52,50,116,66
53,50,116,66
54,50,116,66
55,50,116,66
56,50,116,66
57,50,118,68
58,50,120,70
59,50,122,72
60,50,124,74
61,50,124,74
62,62,144,82
63,62,144,82
64,62,144,82
65,62,148,86
66,62,148,86
67,62,150,88
68,62,150,88
69,62,152,90
70,62,152,90
71,62,154,92
72,62,154,92
73,82,204,122
74,82,206,124
75,82,208,126
76,82,208,126
77,82,208,126
78,82,208,126
79,82,208,126
